,words,count
131,fat,2044
101,and,1859
304,cooked,1780
604,lean,1510
603,separable,1457
244,raw,1387
32,to,1189
11,with,1137
98,beef,1108
596,trimmed,995
608,only,831
239,salt,602
243,meat,541
265,canned,498
614,boneless,491
309,roasted,441
21,pork,429
334,steak,421
598,loin,397
30,frozen,385
357,chicken,377
49,prepared,373
22,dry,363
305,boiled,363
135,without,357
240,added,347
1094,choice,344
496,all,340
333,round,338
90,or,332
537,drained,329
420,fresh,315
221,whole,300
2235,lamb,297
1990,imported,289
63,cheese,282
395,beverages,280
339,roast,266
288,skin,259
1091,grades,255
260,fish,253
594,seeds,249
250,braised,247
1100,select,247
31,ready,243
45,chocolate,239
234,in,228
332,top,228
539,water,221
84,white,216
119,milk,210
154,mix,210
458,broiled,205
981,new,193
599,shoulder,193
462,cereals,193
370,beans,192
233,fried,190
764,soup,190
454,bone,189
982,zealand,185
613,rib,182
126,oil,175
521,solids,174
137,from,171
1106,chuck,165
376,grilled,160
419,turkey,160
341,of,159
14,foods,157
399,low,157
452,juice,157
609,blade,154
128,regular,152
120,candies,150
938,mature,150
97,snacks,147
78,cream,141
340,eye,140
1442,fast,139
607,ham,137
549,includes,135
85,wheat,134
183,nuts,133
146,rice,129
200,free,126
59,corn,126
175,light,123
138,dried,122
1812,fryers,122
463,eat,121
60,bread,119
140,reduced,118
597,leg,117
1811,broilers,117
457,cured,116
397,drink,115
1989,australian,115
245,alaska,115
377,sirloin,114
37,plain,113
522,liquids,113
624,products,112
394,sauce,112
62,sweet,112
214,pizza,112
108,fruit,111
643,ribs,111
1948,veal,110
246,native,109
33,heat,107
621,variety,107
449,vitamin,107
623,by,106
124,butter,105
274,ground,105
55,flour,104
622,meats,102
207,cookies,101
157,bar,98
299,red,97
139,potatoes,94
406,dressing,92
520,pack,92
232,unprepared,92
349,on,91
443,sodium,90
1955,quaker,90
404,sugar,90
768,mixed,89
68,pan,88
20,for,88
18,recipe,88
54,enriched,87
40,crust,87
418,sausage,85
42,type,85
301,beverage,85
174,vanilla,84
642,style,84
197,instant,84
204,grain,83
447,powder,83
416,salad,83
372,egg,82
212,baked,81
620,retail,81
6,flavor,81
610,chops,79
502,syrup,77
644,tenderloin,77
551,food,77
388,vegetable,75
129,no,75
506,green,75
1103,lip,74
615,arm,74
595,composite,74
179,serve,72
342,yellow,71
171,yogurt,71
473,alcoholic,70
217,sandwich,70
53,made,69
1343,breast,69
442,tomato,69
653,shank,68
75,crackers,67
326,half,66
172,ice,66
612,center,65
236,french,65
601,cuts,65
354,restaurant,65
1041,margarine,64
400,calorie,64
1834,game,63
550,usda,63
17,original,63
168,unsweetened,62
769,species,62
651,solution,62
459,dark,62
1197,unenriched,61
1096,end,61
1101,short,61
652,heated,60
48,commercially,60
123,peanut,59
547,volume,59
136,potato,58
1114,bottom,58
67,cake,57
553,program,57
552,distribution,57
486,soy,55
1451,equal,54
412,mars,53
147,brown,53
39,pie,53
115,soft,53
302,squash,51
639,unheated,51
415,spread,50
1097,12,50
105,chips,50
195,puddings,49
383,lemon,49
822,nonfat,48
1597,hydrogenated,48
944,off,48
1843,condensed,48
1215,fortified,47
910,cut,47
261,salmon,47
919,tip,47
750,10,47
573,calcium,46
410,topping,46
413,snackfood,46
414,us,46
1967,oatmeal,46
1218,industrial,46
682,home,45
1642,mcdonald,45
515,stewed,45
523,sweetened,45
422,patty,45
199,gluten,44
635,extra,44
1111,pot,44
455,drumstick,44
1090,brisket,43
1214,protein,43
1775,spices,42
510,bottled,42
1666,14,42
1095,small,42
275,tea,42
249,liver,41
1075,coconut,41
519,heavy,41
371,chinese,40
111,granola,40
149,seed,40
509,concentrate,40
656,natural,40
181,orange,39
1469,meal,39
191,table,39
353,lettuce,39
1453,malt,38
188,strawberry,38
1310,wine,38
1659,thigh,38
141,sour,38
1319,peas,38
121,honey,37
10,rolls,37
7,refrigerated,37
35,toasted,36
1658,breading,36
785,pasta,36
47,apple,36
9,cinnamon,36
264,smoked,36
1035,peppers,35
453,wing,35
427,fluid,35
396,flavored,35
531,pineapple,34
441,bacon,34
425,tofu,34
466,bran,34
1113,large,34
319,wild,34
2024,carbonated,33
1051,hot,33
940,immature,33
943,kernels,33
542,acid,32
654,slice,32
499,mollusks,32
392,italian,32
1817,back,32
611,roasts,32
142,onion,32
789,black,32
585,cranberry,31
1115,clod,31
832,coffee,31
641,country,31
1126,cereal,31
926,sprouted,31
751,crispy,31
649,tender,31
670,filling,31
917,cap,31
134,peanuts,31
2210,soymilk,30
337,partially,30
430,like,30
159,cherry,30
262,king,30
497,flavors,30
1109,flat,30
379,plate,30
1107,under,30
1754,greek,29
113,hard,29
626,simmered,29
1641,filet,28
3,buttermilk,28
1118,skirt,28
2532,silk,28
424,mayonnaise,28
472,breaded,28
196,banana,28
144,salted,28
325,rump,27
28,muffins,27
464,post,27
760,leaves,27
438,lowfat,27
173,creams,27
918,petite,27
487,breakfast,27
148,sesame,27
477,oat,27
103,based,27
114,almond,27
657,juices,26
1824,broth,26
352,taco,26
1317,soybean,26
2099,crustaceans,26
76,snack,26
100,chopped,26
1234,gravy,26
363,bean,26
937,kidney,26
2089,atlantic,25
829,greens,25
541,ascorbic,25
1068,oyster,25
913,product,25
1000,winter,24
208,creme,24
1814,neck,24
1119,outside,24
1838,rotisserie,24
958,mushrooms,24
1668,pepperoni,24
1224,80,24
590,grape,24
112,bars,24
343,northern,24
259,flesh,24
841,oats,23
485,non,23
313,stew,23
1016,snap,23
1664,thin,23
569,blend,23
995,summer,23
979,spinach,23
830,pasteurized,23
986,pumpkin,23
1503,shortening,23
586,ocean,23
8,dough,22
493,blueberry,22
322,removed,22
1146,cocoa,22
861,uncooked,22
1554,onions,22
544,grapefruit,22
451,vitamins,22
1134,crunch,22
1657,kfc,22
448,high,22
875,peach,22
56,chip,22
1813,giblets,22
813,sliced,21
36,microwaved,21
890,not,21
1481,biscuit,21
1024,cabbage,21
166,roll,21
461,palm,21
391,vegetables,21
570,apples,21
169,liquid,21
1117,inside,21
132,cakes,21
403,novelties,21
587,spray,21
1816,classes,21
1842,parts,21
2064,v8,20
295,navajo,20
807,noodles,20
970,types,20
2239,chop,20
1298,stick,20
812,american,20
859,dehydrated,20
946,cowpeas,20
194,chunky,20
2034,cola,20
378,macaroni,20
1422,loaf,20
1060,grass,20
710,unsalted,20
91,filled,20
748,classic,19
939,lima,19
666,hamburger,19
876,pear,19
2231,vitasoy,19
1039,mashed,19
393,spaghetti,19
118,coated,19
1065,chili,19
1270,double,19
512,pears,19
150,tortilla,19
1092,fed,19
1997,ribeye,19
1846,noodle,19
2026,energy,19
545,pink,18
799,shrimp,18
1299,tub,18
224,pancakes,18
1648,burger,18
1102,porterhouse,18
706,cheddar,18
818,diet,18
1424,mock,18
1093,flank,18
2305,ostrich,18
900,heart,18
1249,pacific,18
1336,sulfured,18
125,popcorn,18
1394,mushroom,18
314,steamed,18
1667,hut,18
293,blue,18
619,steaks,18
2244,frenched,18
1624,single,18
1020,broccoli,18
817,commercial,17
1755,chobani,17
1578,cottonseed,17
296,cornmeal,17
823,than,17
356,latino,17
241,processing,17
1627,tuna,17
106,barbecue,17
1029,carrots,17
831,process,17
117,raisin,17
2103,moist,17
978,mustard,17
190,syrups,17
185,covered,17
2422,archway,17
679,usa,17
2214,firm,17
985,oven,17
167,baking,17
1226,cheeseburger,16
538,apricots,16
1623,condiments,16
536,cherries,16
494,cocktail,16
1228,seasoning,16
1414,formulated,16
439,milkfat,16
1084,sunflower,16
1836,domesticated,16
27,english,16
1993,wagyu,16
1818,broiler,16
182,fudge,16
1112,prime,16
44,cracker,16
1996,score,16
2027,caffeine,16
1994,aust,16
1995,marble,16
41,cookie,16
1005,kernel,16
1055,tomatoes,16
16,bake,16
860,moisture,16
13,kraft,16
1961,grits,16
133,caramel,16
1841,bird,16
2065,splash,16
778,hind,16
1847,clam,15
1276,family,15
156,candy,15
802,sticks,15
2243,bison,15
358,entree,15
355,mexican,15
231,hash,15
617,boston,15
411,substitute,15
407,bologna,15
1195,long,15
4,biscuits,15
1507,brewed,15
838,sweetener,15
1456,multigrain,15
1082,almonds,15
161,nestle,15
871,peaches,15
426,frankfurter,15
1344,crumbles,15
177,desserts,14
2013,frosting,14
344,plains,14
1962,quick,14
863,raisins,14
2236,foreshank,14
300,berry,14
2054,whiskey,14
1080,chestnuts,14
1399,pepper,14
2252,rack,14
267,duck,14
2040,decaffeinated,14
345,indians,14
994,soybeans,14
1182,rye,14
1806,smart,14
489,mozzarella,14
655,broil,14
744,organic,14
1660,mild,14
1153,frostings,14
1015,pinto,14
350,the,14
1311,cooking,14
630,leaf,14
1651,burrito,13
1104,70,13
237,as,13
478,flakes,13
2066,drinks,13
1644,wendy,13
933,gourd,13
1154,tapioca,13
2146,knuckle,13
1815,batter,13
1606,breyers,13
1007,taro,13
1653,popeyes,13
1116,tri,13
1120,beer,13
1633,lunch,13
1632,school,13
905,tongue,13
405,creamy,13
1147,european,13
2522,farmed,12
2303,emu,12
86,bagels,12
1277,hand,12
834,swiss,12
1025,common,12
2100,crab,12
1438,nut,12
152,ranch,12
19,coating,12
201,dinner,12
2198,roasting,12
945,cob,12
2199,stewing,12
930,asparagus,12
942,tap,12
483,plus,12
235,canola,12
1615,85,12
1099,full,12
1638,subway,12
324,caribou,12
2056,proof,12
1110,america,12
729,starch,12
1924,fully,12
382,denny,12
401,aspartame,12
423,link,12
767,young,12
437,cottage,12
450,other,12
1188,rising,12
1173,maple,12
1999,15,12
1108,denver,12
468,size,12
2018,standard,12
2035,lemonade,12
484,imitation,12
43,graham,11
213,parmesan,11
899,brain,11
1203,bleached,11
947,blackeyes,11
513,plums,11
1839,bbq,11
1433,special,11
1665,chain,11
883,varieties,11
1269,applebee,11
1081,japanese,11
1165,snickers,11
828,turnip,11
1516,poultry,11
1732,tossed,11
1848,chowder,11
1280,thick,11
1650,bell,11
1008,shoots,11
1640,sub,11
1626,submarine,11
1944,salami,11
338,elk,11
560,nectar,11
616,picnic,11
1247,herring,11
1255,turnips,11
186,baby,11
1613,60,11
1963,minute,11
1227,lasagna,10
839,less,10
1191,medium,10
1172,lite,10
741,wafers,10
850,mackerel,10
842,sweeteners,10
1328,ripe,10
1045,pickles,10
964,lower,10
972,root,10
