,words,fdc_id,weight
0,pillsbury,167512,0.5
1,golden,167512,0.5
2,layer,167512,0.5
3,buttermilk,167512,0.5
4,biscuits,167512,0.5
5,artificial,167512,0.5
6,dough,167512,0.5
7,pillsbury,167513,0.5
8,cinnamon,167513,0.5
9,rolls,167513,0.5
10,icing,167513,0.5
11,dough,167513,0.5
12,kraft,167514,0.5
13,shake,167514,0.5
14,bake,167514,0.5
15,coating,167514,0.5
16,pork,167514,0.5
17,dry,167514,0.5
18,george,167515,0.5
19,weston,167515,0.5
20,bakeries,167515,0.5
21,thomas,167515,0.5
22,english,167515,0.5
23,muffins,167515,0.5
24,waffles,167516,0.5
25,buttermilk,167516,0.5
26,waffle,167517,0.5
27,buttermilk,167517,0.5
28,toasted,167517,0.5
29,waffle,167518,0.5
30,buttermilk,167518,0.5
31,microwaved,167518,0.5
32,waffle,167519,0.5
33,plain,167519,0.5
34,microwave,167519,0.5
35,pie,167520,0.5
36,crust,167520,0.5
37,cookie,167520,0.5
38,graham,167520,0.5
39,cracker,167520,0.5
40,crust,167520,0.5
41,pie,167521,0.5
42,crust,167521,0.5
43,cookie,167521,0.5
44,chocolate,167521,0.5
45,crust,167521,0.5
46,pie,167522,0.5
47,dutch,167522,0.5
48,apple,167522,0.5
49,pie,167523,0.5
50,crust,167523,0.5
51,deep,167523,0.5
52,dish,167523,0.5
53,unbaked,167523,0.5
54,flour,167523,0.5
55,waffles,167524,0.5
56,chocolate,167524,0.5
57,chip,167524,0.5
58,tostada,167525,0.5
59,shells,167525,0.5
60,corn,167525,0.5
61,bread,167526,0.5
62,salvadoran,167526,0.5
63,sweet,167526,0.5
64,cheese,167526,0.5
65,quesadilla,167526,0.5
66,salvadorena,167526,0.5
67,bread,167527,0.5
68,pound,167527,0.5
69,cake,167527,0.5
70,pan,167527,0.5
71,de,167527,0.5
72,torta,167527,0.5
73,salvadoran,167527,0.5
74,pastry,167528,0.5
75,pastelitos,167528,0.5
76,de,167528,0.5
77,guava,167528,0.5
78,guava,167528,0.5
79,pastries,167528,0.5
80,crackers,167529,0.5
81,snack,167529,0.5
82,goya,167529,0.5
83,crackers,167529,0.5
84,crackers,167530,0.5
85,cream,167530,0.5
86,gamesa,167530,0.5
87,sabrosas,167530,0.5
88,crackers,167531,0.5
89,cream,167531,0.5
90,la,167531,0.5
91,moderna,167531,0.5
92,rikis,167531,0.5
93,cream,167531,0.5
94,crackers,167531,0.5
95,bread,167532,0.5
96,white,167532,0.5
