,words
131,fat
98,beef
239,salt
243,meat
265,canned
614,boneless
309,roasted
21,pork
334,steak
598,loin
357,chicken
22,dry
305,boiled
333,round
537,drained
2235,lamb
63,cheese
339,roast
288,skin
260,fish
594,seeds
250,braised
45,chocolate
332,top
539,water
84,white
119,milk
154,mix
458,broiled
599,shoulder
370,beans
233,fried
764,soup
454,bone
613,rib
126,oil
1106,chuck
376,grilled
419,turkey
399,low
452,juice
78,cream
340,eye
607,ham
85,wheat
183,nuts
146,rice
200,free
59,corn
175,light
138,dried
60,bread
140,reduced
597,leg
457,cured
377,sirloin
37,plain
522,liquids
624,products
394,sauce
62,sweet
214,pizza
108,fruit
643,ribs
1948,veal
124,butter
274,ground
55,flour
207,cookies
157,bar
299,red
139,potatoes
406,dressing
404,sugar
68,pan
40,crust
418,sausage
301,beverage
174,vanilla
204,grain
447,powder
416,salad
372,egg
212,baked
610,chops
502,syrup
644,tenderloin
551,food
388,vegetable
506,green
1103,lip
615,arm
179,serve
342,yellow
171,yogurt
473,alcoholic
217,sandwich
1343,breast
442,tomato
653,shank
75,crackers
326,half
172,ice
612,center
236,french
354,restaurant
1041,margarine
400,calorie
459,dark
123,peanut
136,potato
1114,bottom
67,cake
486,soy
412,mars
147,brown
39,pie
115,soft
302,squash
415,spread
383,lemon
822,nonfat
1843,condensed
261,salmon
1967,oatmeal
1642,mcdonald
515,stewed
523,sweetened
422,patty
199,gluten
455,drumstick
1090,brisket
1214,protein
275,tea
249,liver
1075,coconut
519,heavy
371,chinese
111,granola
149,seed
509,concentrate
181,orange
353,lettuce
1453,malt
188,strawberry
1310,wine
1659,thigh
141,sour
1319,peas
121,honey
10,rolls
35,toasted
1658,breading
785,pasta
47,apple
9,cinnamon
264,smoked
1035,peppers
453,wing
427,fluid
531,pineapple
441,bacon
425,tofu
466,bran
319,wild
2024,carbonated
1051,hot
943,kernels
542,acid
654,slice
499,mollusks
392,italian
1817,back
611,roasts
142,onion
789,black
585,cranberry
1115,clod
832,coffee
1126,cereal
926,sprouted
751,crispy
649,tender
670,filling
917,cap
134,peanuts
2210,soymilk
159,cherry
262,king
1109,flat
1754,greek
113,hard
626,simmered
1641,filet
3,buttermilk
1118,skirt
2532,silk
424,mayonnaise
472,breaded
196,banana
144,salted
325,rump
28,muffins
464,post
760,leaves
438,lowfat
173,creams
487,breakfast
148,sesame
477,oat
103,based
114,almond
657,juices
1824,broth
352,taco
1317,soybean
2099,crustaceans
76,snack
100,chopped
1234,gravy
363,bean
937,kidney
2089,atlantic
829,greens
1068,oyster
913,product
1000,winter
208,creme
1814,neck
1119,outside
1838,rotisserie
958,mushrooms
1668,pepperoni
1224,80
590,grape
112,bars
343,northern
259,flesh
841,oats
485,non
313,stew
1016,snap
1664,thin
569,blend
995,summer
979,spinach
830,pasteurized
986,pumpkin
1503,shortening
586,ocean
8,dough
493,blueberry
322,removed
1146,cocoa
861,uncooked
1554,onions
544,grapefruit
451,vitamins
1134,crunch
1657,kfc
448,high
875,peach
56,chip
1813,giblets
813,sliced
36,microwaved
1481,biscuit
1024,cabbage
166,roll
461,palm
570,apples
169,liquid
1117,inside
132,cakes
403,novelties
587,spray
1816,classes
1842,parts
2064,v8
295,navajo
807,noodles
970,types
2239,chop
1298,stick
812,american
859,dehydrated
946,cowpeas
194,chunky
2034,cola
378,macaroni
1422,loaf
1060,grass
710,unsalted
91,filled
748,classic
939,lima
666,hamburger
876,pear
2231,vitasoy
1039,mashed
393,spaghetti
118,coated
1065,chili
1270,double
512,pears
150,tortilla
1092,fed
1997,ribeye
1846,noodle
2026,energy
545,pink
799,shrimp
1299,tub
224,pancakes
1648,burger
1102,porterhouse
706,cheddar
818,diet
1424,mock
1093,flank
2305,ostrich
900,heart
1249,pacific
1336,sulfured
125,popcorn
1394,mushroom
314,steamed
1667,hut
293,blue
619,steaks
2244,frenched
1624,single
1020,broccoli
817,commercial
1755,chobani
1578,cottonseed
296,cornmeal
823,than
356,latino
241,processing
1627,tuna
106,barbecue
1029,carrots
831,process
117,raisin
2103,moist
978,mustard
190,syrups
185,covered
2422,archway
679,usa
2214,firm
985,oven
167,baking
1226,cheeseburger
538,apricots
1623,condiments
536,cherries
494,cocktail
1228,seasoning
1414,formulated
439,milkfat
1084,sunflower
1836,domesticated
27,english
1993,wagyu
1818,broiler
182,fudge
1112,prime
